booth,category,winner,winner_votes,runner_up,runner_votes,margin,margin_pct
289,SWING DMK,DMK,413,AIADMK,412,1,0.12
290,STRONG AIADMK,AIADMK,393,DMK,196,197,33.45
291,STRONG DMK,DMK,410,AIADMK,270,140,20.59
292,STRONG DMK,DMK,358,AIADMK,254,104,16.99
293,STRONG DMK,DMK,476,AIADMK,360,116,13.88
294,STRONG DMK,DMK,483,AIADMK,162,321,49.77
295,STRONG DMK,DMK,354,AIADMK,208,146,25.98
296,STRONG DMK,DMK,350,AIADMK,183,167,31.33
297,STRONG AIADMK,AIADMK,464,DMK,324,140,17.77
298,SWING AIADMK,AIADMK,345,DMK,326,19,2.83
299,LEAN DMK,DMK,416,AIADMK,342,74,9.76
300,SWING AIADMK,AIADMK,249,DMK,227,22,4.62
301,SWING AIADMK,AIADMK,323,DMK,304,19,3.03
